SGB053	s__Streptococcus thermophilus
SGB046	s__Anaerococcus vaginalis_B
SGB137	s__Bifidobacterium vaginale
SGB203	s__Phascolarctobacterium_A succinatutens_A
SGB197	s__Metamycoplasma hominis
SGB434	s__Rubneribacter badeniensis
SGB388	s__Serratia proteamaculans_B
SGB480	s__Ruminococcus_C callidus
SGB511	s__Haemophilus influenzae
SGB485	s__Enterobacter cloacae_B
SGB126	s__Actinotignum schaalii_A
SGB440	s__Haemophilus_D parainfluenzae_A
SGB059	s__Bacillus marinus
SGB605	s__Porphyromonas somerae
SGB184	s__Citrobacter freundii
SGB361	GTDB-new
SGB432	s__Fannyhessea vaginae
SGB035	GTDB-new
SGB523	s__Staphylococcus warneri_A
SGB587	s__Lancefieldella rimae
SGB157	s__Winkia sp002849225
SGB484	s__Agathobacter faecis
SGB517	s__Bacteroides finegoldii
SGB521	s__Lactobacillus iners
SGB030	s__Enterobacter sp000568095
SGB073	GTDB-new
SGB024	s__Neisseria subflava_B
SGB173	s__Staphylococcus simulans_A
SGB355	GTDB-new
SGB068	GTDB-new
SGB264	s__Bacillus atrophaeus
SGB370	s__Faecalibacterium prausnitzii_E
SGB255	s__Anaerotruncus colihominis
SGB207	s__Staphylococcus simulans_B
SGB462	s__Brevibacterium sp001815905
SGB400	GTDB-new
SGB309	GTDB-new
SGB040	s__Haemophilus_D parainfluenzae_J
SGB192	s__Parvimonas sp000214475
SGB160	s__Streptococcus pseudopneumoniae_E
SGB550	s__Mycoplasmoides genitalium
SGB071	s__Olsenella uli
SGB007	s__Citrobacter pasteurii
SGB056	s__Akkermansia muciniphila
SGB421	s__Streptococcus oralis_B
SGB237	s__Peptostreptococcus anaerobius
SGB470	s__Solobacterium moorei
SGB557	s__Citrobacter_A amalonaticus_D
SGB524	GTDB-new
SGB021	s__Clostridium_P ventriculi
SGB017	s__Corynebacterium aurimucosum_C
SGB356	GTDB-new
SGB250	s__Campylobacter_B hominis
SGB233	s__Porphyromonas sp001808555
SGB044	s__Tessaracoccus lapidicaptus
SGB598	s__Streptococcus pyogenes
SGB322	s__Rothia mucilaginosa_A
SGB027	GTDB-new
SGB539	GTDB-new
SGB093	s__Fusobacterium polymorphum
SGB240	GTDB-new
SGB129	s__Bifidobacterium vaginale_D
SGB081	GTDB-new
SGB002	s__Porphyromonas bennonis
SGB164	GTDB-new
SGB348	s__Streptococcus mitis_AC
SGB149	s__Corynebacterium sp001831515
SGB086	s__Streptococcus infantis_F
SGB174	s__Staphylococcus simulans
SGB208	s__Peptostreptococcus sp000758885
SGB003	s__Lancefieldella parvula
SGB066	s__Lactobacillus_H coleohominis
SGB376	s__Streptococcus mitis_AG
SGB091	s__28L sp002892445
SGB085	s__Klebsiella quasipneumoniae
SGB138	s__Lactobacillus_H fermentum
SGB076	s__Prevotella copri
SGB522	s__Corynebacterium aurimucosum
SGB004	s__Tessaracoccus flavescens
SGB441	s__Corynebacterium kefirresidentii
SGB455	s__Bifidobacterium vaginale_C
SGB193	s__OKQN01 sp900289115
SGB436	GTDB-new
SGB526	s__Facklamia hominis
SGB013	s__Acinetobacter johnsonii
SGB368	s__Dorea longicatena_B
SGB339	GTDB-new
SGB574	s__Collinsella sp002232035
SGB064	s__Streptococcus mitis_O
SGB366	s__Faecalibacterium prausnitzii_C
SGB395	s__Serratia proteamaculans_C
SGB476	s__Veillonella dispar
SGB022	s__Bacteroides_A plebeius_A
SGB585	s__Streptococcus pseudopneumoniae_D
SGB316	s__Streptococcus mitis_AI
SGB447	s__Streptococcus mitis_AV
SGB451	s__Fusobacterium nucleatum
SGB228	s__Pauljensenia radingae
SGB178	s__Lactobacillus_G brevis
SGB374	s__Lactobacillus_H vaginalis
SGB112	s__Malacoplasma_A girerdii
SGB566	s__Enterobacter cloacae_I
SGB387	s__Streptococcus oralis_O
SGB461	s__Klebsiella variicola
SGB334	s__Faecalibacterium prausnitzii_D
SGB176	s__Roseburia intestinalis
SGB069	s__Janibacter sp001428305
SGB463	s__Faecalibacterium prausnitzii_H
SGB282	s__Streptococcus dentisani
SGB304	s__Kosakonia cowanii
SGB154	s__Olsenella_E sp900119915
SGB604	s__Janibacter melonis
SGB047	s__Prevotella sp900313215
SGB175	s__Bifidobacterium dentium
SGB469	GTDB-new
SGB502	s__Lactobacillus_D sakei_A
SGB043	s__Prevotella copri_A
SGB393	s__Prevotella disiens
SGB145	GTDB-new
SGB135	s__Aerococcus urinaehominis
SGB308	s__Corynebacterium riegelii
SGB096	GTDB-new
SGB315	GTDB-new
SGB606	s__Varibaculum sp900106855
SGB329	GTDB-new
SGB234	s__Streptococcus pseudopneumoniae_J
SGB323	GTDB-new
SGB559	s__Corynebacterium tuscaniense
SGB209	GTDB-new
SGB293	s__Streptococcus sp001587175
SGB011	s__Streptococcus mitis_S
SGB336	s__Corynebacterium lipophiloflavum
SGB029	s__Streptococcus mitis_AD
SGB303	s__Streptococcus mitis_D
SGB552	s__Staphylococcus haemolyticus_A
SGB283	s__Proteus mirabilis
SGB183	s__Bacteroides stercoris
SGB247	GTDB-new
SGB226	s__Klebsiella_B aerogenes
SGB450	s__Dorea longicatena
SGB220	GTDB-new
SGB119	GTDB-new
SGB548	s__Streptococcus mitis_J
SGB321	s__Streptococcus infantis_H
SGB500	s__Bacteroides faecis
SGB114	GTDB-new
SGB324	s__Citrobacter_C amalonaticus
SGB581	s__Gordonibacter pamelaeae
SGB365	s__Anaerococcus prevotii_A
SGB301	GTDB-new
SGB014	s__Streptococcus oralis_E
SGB342	s__Haemophilus_D parainfluenzae_K
SGB410	s__Peptoniphilus_A sp900176605
SGB054	s__Lactobacillus delbrueckii
SGB151	s__Parvimonas sp000223315
SGB347	s__Streptococcus mitis_AX
SGB593	s__Pseudomonas aeruginosa_A
SGB167	s__Olsenella urininfantis
SGB279	s__Streptococcus pseudopneumoniae_H
SGB107	s__Porphyromonas sp001552775
SGB219	s__Brevibacterium luteolum
SGB364	GTDB-new
SGB533	s__Streptococcus mitis_AY
SGB380	s__Sneathia amnii
SGB186	s__Pseudomonas_E aeruginosa
SGB371	s__Oligella urethralis
SGB528	s__Rothia sp001808955
SGB423	GTDB-new
SGB357	s__Prevotella stercorea
SGB256	s__Winkia neuii
SGB600	s__Lactobacillus jensenii
SGB142	s__Proteus vulgaris_A
SGB592	s__Prevotella sp000758925
SGB195	s__Peptoniphilus_A harei_A
SGB429	s__Fusobacterium nucleatum_E
SGB507	s__Corynebacterium sp001767255
SGB127	s__Serratia_B rubidaea
SGB437	s__Coprococcus eutactus_A
SGB289	s__Porphyromonas somerae_A
SGB295	GTDB-new
SGB170	s__Rothia aeria
SGB210	s__Stomatobaculum naviforme
SGB088	s__Enterobacter nimipressuralis
SGB579	s__Lachnoanaerobaculum saburreum
SGB292	GTDB-new
SGB505	s__Corynebacterium pyruviciproducens
SGB037	s__Streptococcus oralis_Q
SGB246	s__Bifidobacterium vaginale_F
SGB213	s__Streptococcus infantis_G
SGB211	s__Streptococcus sp000187445
SGB136	s__Varibaculum cambriense
SGB165	s__Olsenella_B sp900111695
SGB515	s__S5-A14a sp000758905
SGB273	s__Corynebacterium jeikeium
SGB298	GTDB-new
SGB424	s__Olsenella_E sp002159735
SGB244	GTDB-new
SGB156	s__Bacteroides sp003545565
SGB187	s__Gemella sp002871655
SGB332	s__Tessaracoccus_A sp900343145
SGB236	s__Pauljensenia turicensis
SGB520	s__Finegoldia magna_H
SGB562	s__DNF00809 sp001552935
SGB458	s__Tessaracoccus flavus
SGB571	s__Ureaplasma parvum
SGB583	s__Catenibacterium mitsuokai
SGB427	s__Enterobacter cloacae_J
SGB320	s__Staphylococcus pasteuri
SGB493	s__Corynebacterium jeikeium_A
SGB058	s__Streptococcus oralis_AE
SGB407	s__Enterococcus_B faecium_B
SGB115	s__Anaeroglobus sp900240295
SGB216	s__Prevotella ihumii
SGB123	s__Enterococcus faecalis
SGB589	s__Porphyromonas uenonis
SGB310	s__Burkholderia latens
SGB426	s__Peptococcus niger
SGB530	s__Streptococcus infantis_B
SGB179	s__Bacteroides ovatus
SGB009	s__Bifidobacterium adolescentis
SGB471	s__Bifidobacterium vaginale_B
SGB130	GTDB-new
SGB270	s__Leclercia sp000755535
SGB344	s__Bacillus subtilis
SGB253	s__Aerococcus urinae
SGB153	GTDB-new
SGB496	GTDB-new
SGB327	s__Olsenella sp001189515
SGB453	GTDB-new
SGB089	s__Enterobacter bugandensis
SGB367	s__Serratia_B odorifera
SGB352	s__KA00274 sp001552885
SGB300	s__Knoellia sp000152705
SGB296	s__Enterobacter kobei
SGB191	s__Haemophilus_D parainfluenzae_M
SGB025	s__Enterobacter cloacae_K
SGB045	s__Corynebacterium glucuronolyticum
SGB506	s__Staphylococcus lugdunensis
SGB442	s__Dorea formicigenerans
SGB218	GTDB-new
SGB401	s__Listeria monocytogenes_C
SGB468	s__Mageeibacillus indolicus
SGB221	s__Janibacter limosus
SGB419	s__Roseburia hominis
SGB405	s__Streptococcus pseudopneumoniae
SGB074	s__Olsenella_B sp000752675
SGB544	GTDB-new
SGB205	s__Corynebacterium afermentans
SGB576	s__Veillonella_A seminalis
SGB235	s__Lactobacillus acidophilus
SGB386	GTDB-new
SGB399	s__Enterobacter cloacae
SGB005	s__Ezakiella coagulans
SGB383	s__Blautia_A obeum
SGB269	GTDB-new
SGB015	s__Campylobacter_B ureolyticus
SGB232	s__Aerococcus urinae_D
SGB257	s__Finegoldia magna
SGB402	s__Lactobacillus_C rhamnosus
SGB609	s__Porphyromonas asaccharolytica
SGB553	GTDB-new
SGB276	s__Streptococcus infantis_C
SGB131	s__Citrobacter freundii_E
SGB325	s__Paraprevotella clara
SGB168	s__Streptococcus mitis_AZ
SGB020	s__Lactobacillus_H vaginalis_A
SGB225	s__Anaerococcus rubeinfantis
SGB460	s__Megasphaera massiliensis
SGB042	s__Metamycoplasma orale
SGB567	s__Parvimonas micra
SGB049	s__Alistipes putredinis
SGB351	s__Neisseria sp000227275
SGB214	s__Bacteroides eggerthii
SGB392	s__Treponema pallidum
SGB479	s__Phascolarctobacterium faecium
SGB033	GTDB-new
SGB346	s__Dialister sp001553355
SGB474	s__Corynebacterium minutissimum_A
SGB099	s__Corynebacterium sp001812805
SGB117	s__Olsenella phocaeensis
SGB417	s__Atopobium deltae
SGB591	s__Faecalibacterium prausnitzii_K
SGB444	s__Cutibacterium avidum
SGB497	s__Actinomyces urogenitalis
SGB113	s__Olsenella_E provencensis
SGB267	s__Gordonibacter massiliensis
SGB556	s__Ruminococcus_E bromii_B
SGB163	s__Actinomyces bovis
SGB006	GTDB-new
SGB277	s__Prevotella melaninogenica
SGB032	GTDB-new
SGB349	s__Peptoniphilus_C coxii
SGB190	s__Streptococcus parasanguinis_B
SGB397	GTDB-new
SGB532	s__Khoudiadiopia timonensis
SGB411	s__Streptococcus oralis_F
SGB481	s__Staphylococcus epidermidis
SGB161	s__Bacteroides_B massiliensis
SGB525	GTDB-new
SGB185	s__Staphylococcus aureus
SGB561	GTDB-new
SGB146	GTDB-new
SGB603	s__Enterococcus_B faecium
SGB200	s__Lactobacillus helveticus
SGB495	s__UBA1417 sp003531055
SGB326	s__Corynebacterium kroppenstedtii
SGB305	s__Aerococcus sanguinicola
SGB194	s__Alloscardovia omnicolens
SGB111	s__Streptococcus oralis_R
SGB594	s__Agathobacter rectale
SGB565	s__Staphylococcus_A fleurettii
SGB384	GTDB-new
SGB472	s__Rubneribacter sp002159915
SGB337	s__Megasphaera sp001546855
SGB408	s__Staphylococcus hominis
SGB132	s__Bacillus subtilis_G
SGB248	s__Bacteroides fragilis_A
SGB508	s__Neisseria meningitidis_A
SGB109	GTDB-new
SGB090	s__Providencia rettgeri_A
SGB075	GTDB-new
SGB280	s__Bacteroides caccae
SGB311	GTDB-new
SGB328	s__Stomatobaculum sp002892395
SGB519	s__Aerococcus christensenii
SGB545	s__Parvimonas sp001553085
SGB414	s__Chlamydia trachomatis
SGB230	s__Faecalibacterium prausnitzii_I
SGB312	s__Lactobacillus_G hilgardii
SGB155	GTDB-new
SGB231	s__Tessaracoccus aquimaris
SGB466	GTDB-new
SGB158	s__Corynebacterium aurimucosum_E
SGB513	s__Neisseria meningitidis_B
SGB363	s__Janibacter anophelis
SGB486	s__Klebsiella pneumoniae
SGB010	s__Sneathia sanguinegens
SGB206	GTDB-new
SGB134	s__Janibacter indicus
SGB281	s__Streptococcus anginosus
SGB428	s__Bacillus velezensis
SGB272	s__Lactobacillus johnsonii
SGB404	s__Bifidobacterium breve
SGB148	s__Pseudoglutamicibacter albus
SGB529	GTDB-new
SGB259	GTDB-new
SGB608	s__Actinobaculum massiliense
SGB369	s__Veillonella atypica
SGB263	s__Streptococcus mitis_E
SGB382	s__Gleimia europaea_B
SGB413	s__Prevotella intermedia
SGB560	s__Lactobacillus_B salivarius
SGB254	s__Acinetobacter gyllenbergii
SGB580	s__Eggerthella lenta
SGB340	s__Streptococcus oralis_AC
SGB422	s__Bacteroides_A coprocola
SGB306	s__Streptococcus infantis_E
SGB182	GTDB-new
SGB542	s__Gemella_A asaccharolytica
SGB139	GTDB-new
SGB391	s__Lactobacillus_D sakei
SGB061	s__Prevotella bivia
SGB050	s__Corynebacterium striatum
SGB446	s__Streptococcus infantarius
SGB147	s__Facklamia_A ignava
SGB492	s__Prevotella sp001553265
SGB048	s__Olsenella_E mediterranea
SGB477	s__Streptococcus mitis_K
SGB584	GTDB-new
SGB098	s__Serratia_B rubidaea_A
SGB514	s__Prevotella corporis
SGB518	GTDB-new
SGB016	s__Alistipes onderdonkii
SGB412	s__Lactococcus lactis
SGB274	s__Rothia dentocariosa
SGB475	GTDB-new
SGB201	s__Roseburia inulinivorans
SGB034	s__Akkermansia muciniphila_C
SGB396	s__Bacteroides cellulosilyticus
SGB128	s__Caecibacter massiliensis
SGB038	s__Enterococcus_B thailandicus
SGB258	s__Gordonibacter urolithinfaciens
SGB547	s__Phascolarctobacterium_A succinatutens
SGB286	s__Parabacteroides distasonis
SGB245	s__28L sp000177555
SGB541	GTDB-new
SGB268	GTDB-new
SGB144	s__Akkermansia muciniphila_A
SGB467	s__Bifidobacterium vaginale_G
SGB503	s__Streptococcus oralis_AD
SGB278	s__Gemella haemolysans_A
SGB358	s__Serratia_A fonticola
SGB249	s__Veillonella dispar_A
SGB588	s__Varibaculum cambriense_B
SGB133	s__Lancefieldella sp000564995
SGB215	s__Prevotella histicola
SGB464	s__Bifidobacterium lacrimalis
SGB224	s__Actinomyces viscosus
SGB563	s__Citrobacter_B koseri
SGB229	s__Olsenella_C umbonata_A
SGB204	GTDB-new
SGB558	s__Olsenella sp001457795
SGB095	s__Cutibacterium acnes
SGB287	GTDB-new
SGB238	s__Enterobacter himalayensis
SGB271	s__Lactobacillus_F plantarum_A
SGB318	s__Peptoniphilus_A lacrimalis
SGB243	s__Parvimonas sp001552895
SGB504	GTDB-new
SGB601	s__Streptococcus agalactiae
SGB094	s__Serratia plymuthica
SGB299	s__Alistipes shahii
SGB378	GTDB-new
SGB499	s__Aerococcus urinaeequi
SGB063	s__Malacoplasma penetrans
SGB483	s__Actinomyces israelii
SGB041	s__Lawsonella clevelandensis
SGB057	s__Lactobacillus_H reuteri
SGB435	s__Fannyhessea vaginae_A
SGB065	s__Streptococcus mitis_C
SGB212	s__Bifidobacterium pseudocatenulatum
SGB199	s__Bacteroides uniformis
SGB425	s__Lactobacillus_H oris
SGB008	s__Burkholderia sp002223185
SGB097	s__Peptoniphilus_C urinimassiliensis
SGB443	s__Providencia rettgeri_C
SGB189	GTDB-new
SGB108	s__Brevibacterium ravenspurgense
SGB377	GTDB-new
SGB100	s__Lactococcus lactis_A
SGB389	s__Roseomonas cervicalis
SGB534	s__Criibacterium bergeronii
SGB122	s__Bacillus inaquosorum
SGB516	s__Parabacteroides merdae
SGB554	s__Dialister micraerophilus
SGB101	s__Enterobacter_D kobei
SGB570	s__Mobiluncus curtisii
SGB227	s__Megasphaera sp000417505
SGB266	s__Lactobacillus crispatus
SGB080	GTDB-new
SGB418	s__Proteus mirabilis_B
SGB285	s__Streptococcus oralis_M
SGB106	s__Prevotella buccalis
SGB459	s__Corynebacterium genitalium
SGB546	s__Citrobacter werkmanii
SGB171	s__Veillonella montpellierensis
SGB478	s__Megasphaera sp900066485
SGB354	s__Alistipes_A indistinctus
SGB140	s__Corynebacterium freneyi
SGB549	s__Anaerococcus vaginalis
SGB454	s__Porphyromonas uenonis_A
SGB590	s__Serratia sp001642805
SGB072	s__Olsenella_B sp900119625
SGB381	s__Prevotella timonensis
SGB406	GTDB-new
SGB488	s__Pediococcus acidilactici
SGB379	GTDB-new
SGB152	GTDB-new
SGB501	s__Citrobacter werkmanii_A
SGB105	s__Tessaracoccus_A oleiagri
SGB223	s__Prevotella sp000479005
SGB261	s__Prevotella timonensis_A
SGB512	s__Propionimicrobium lymphophilum
SGB262	s__Olsenella_E sp002159535
SGB465	s__Actinomyces graevenitzii
SGB083	GTDB-new
SGB510	GTDB-new
SGB568	s__Slackia exigua
SGB430	GTDB-new
SGB169	s__Bacteroides_A plebeius
SGB239	s__Akkermansia muciniphila_B
SGB359	s__Pseudomonas aeruginosa
SGB023	s__Parabacteroides johnsonii
SGB294	s__Olegusella massiliensis
SGB555	s__Leptotrichia wadei
SGB457	s__Enterobacter cloacae_L
SGB375	s__Dermabacter hominis
SGB124	s__Ureaplasma urealyticum
SGB028	s__Streptococcus mitis_A
SGB018	s__Prevotella amnii
SGB222	s__Anaerococcus sp001182725
SGB103	s__Olsenella_E sp002159495
SGB082	s__Finegoldia magna_F
SGB317	s__Fusobacterium_C gonidiaformans
SGB482	s__Gemella haemolysans_B
SGB036	s__Haemophilus sp002998595
